meter_id,total_kwh,peak_kwh,peak_ratio,cluster_name,cooling_load,base_load,policy_level
MAC000113,19935.3309994,6876.0780018,0.34491917901974894,Evening Peak,2582.600241662815,19969.89904808932,Level 1 - Communication
MAC000114,2267.3090001,1008.8840001,0.44496978579254215,Daytime Active,206.44741834209242,2267.934734893674,Level 2 - TOU Pricing
MAC000115,7278.0359997,2812.6519991,0.3864575551997733,Evening Peak,818.1253852885288,7290.848543339027,Level 2 - TOU Pricing
MAC000116,25362.1219944,8012.5289939,0.3159250237684836,Evening Peak,3014.6928933764325,25383.11436084801,Level 1 - Communication
MAC000117,6669.3289993,2641.6719998,0.39609262042362353,Evening Peak,1056.4088499756858,6673.272171365461,Level 2 - TOU Pricing
MAC000118,6202.8369997,2372.7980001,0.38253431457488896,Evening Peak,1021.1724511725686,6204.785528376434,Level 2 - TOU Pricing
MAC000119,10402.7919998,5290.5140001,0.5085667386410988,Evening Peak,1299.245801768138,10428.127530833102,Level 3 - Demand Response
MAC000120,1291.039,327.464,0.2536437706374478,Daytime Active,250.5709102990033,1289.3627807308972,Level 1 - Communication
MAC000121,8955.6250001,3760.2380002,0.4198744364751776,Evening Peak,742.8111511171036,8951.506437054431,Level 3 - Demand Response
MAC000122,4305.6819995,1691.4579999,0.3928432243942822,Daytime Active,313.0913767771534,4305.128753554308,Level 2 - TOU Pricing
MAC000123,6119.1219997,1746.6399999,0.2854396431359976,Daytime Active,424.1322958224718,6121.817535278652,Level 1 - Communication
MAC000124,8834.2359998,3001.0810001,0.33971030433961036,Evening Peak,502.40160441827356,8845.279959748685,Level 1 - Communication
MAC000125,8265.1370005,2863.1050008,0.34640744619560404,Evening Peak,1422.1753513799003,8275.74436504744,Level 1 - Communication
MAC000126,4273.3089997,1820.4169996,0.4259970434452082,Evening Peak,795.4669899398253,4278.560941021473,Level 2 - TOU Pricing
MAC000127,7617.2289995,2372.1159997,0.3114145576896411,Evening Peak,922.8166564781527,7617.232301619226,Level 1 - Communication
MAC000128,4243.1070005,1532.4579999,0.3611641185856067,Evening Peak,382.8208093089888,4245.311680902621,Level 2 - TOU Pricing
MAC000129,8357.968998,2547.1999992,0.3047630351117031,Daytime Active,2232.2601154336257,8368.967606519449,Level 1 - Communication
MAC000130,3026.3419998,1196.7589999,0.395447375074955,Evening Peak,216.68131324794024,3026.5652182756553,Level 2 - TOU Pricing
MAC000131,8283.5920003,3654.8799999000003,0.44121921984661183,Evening Peak,1087.394224969288,8299.341247492885,Level 3 - Demand Response
MAC000132,11276.3139984,4971.9159995,0.44091677477280844,Evening Peak,1015.7746325898877,11277.169626355057,Level 3 - Demand Response
MAC000133,17656.1299981,6309.4999997,0.3573546411574322,Evening Peak,1610.2073801143565,17678.224402582524,Level 3 - Demand Response
MAC000134,8321.7580025,1945.1780013,0.23374604268901292,Night Owl,4294.2982746974685,8363.584931626583,Level 1 - Communication
MAC000135,2336.37,799.794,0.3423233477574186,Evening Peak,105.12128935185184,2335.264587962963,Level 1 - Communication
MAC000136,7443.0019999,2333.2489999,0.31348224814817305,Daytime Active,809.7296696587155,7440.250747605964,Level 1 - Communication
MAC000137,11283.9250013,3994.4800006,0.35399739010493275,Evening Peak,1224.576786591011,11308.933676613235,Level 3 - Demand Response
MAC000138,6735.9179988,2086.4429994,0.30974887161210973,Daytime Active,1692.9046883164795,6760.439207382522,Level 1 - Communication
MAC000139,12284.357,4092.4649996,0.33314442095748276,Evening Peak,1231.2761003000005,12311.34473076923,Level 1 - Communication
MAC000140,4091.0159994,1548.0369995,0.3783991555464558,Evening Peak,475.029859598,4095.49586189625,Level 2 - TOU Pricing
MAC000141,4969.8850001,2384.7750001,0.4798451070904086,Evening Peak,707.8841000540003,4973.757906350625,Level 2 - TOU Pricing
MAC000142,10925.7189989,3746.0789996,0.34286796136502823,Evening Peak,1420.0430547088997,10944.19287691405,Level 1 - Communication
MAC000143,7203.1410004,2709.7710004,0.37619296918518225,Evening Peak,913.7147176815,7222.3573629024995,Level 2 - TOU Pricing
MAC000144,4018.7109999,1805.9780003,0.4493923549976446,Evening Peak,444.6332195328075,4019.2444871801263,Level 2 - TOU Pricing
MAC000145,10377.8149983,3717.872998,0.3582520018528976,Evening Peak,1029.0273260263664,10380.35832149745,Level 3 - Demand Response
MAC000146,2754.7070000000003,972.705,0.3531065191325248,Evening Peak,210.9314251781474,2747.4653800475057,Level 2 - TOU Pricing
MAC000147,5473.4280006,1823.4060002,0.333137843413692,Daytime Active,490.4135859019444,5470.703650664398,Level 1 - Communication
MAC000148,4055.485,1017.816,0.25097269500441993,Evening Peak,1003.7362174969625,4073.1372393681654,Level 1 - Communication
MAC000149,2006.4660000000001,872.087,0.4346383143297718,Evening Peak,504.1337970838396,2009.4835625759415,Level 2 - TOU Pricing
MAC000150,8083.4419993,3441.9619992,0.42580400768609,Evening Peak,1300.0678911405832,8088.689744131713,Level 2 - TOU Pricing
MAC000151,3101.4590001,1209.831,0.3900844731337707,Evening Peak,211.41380806986632,3105.191154414095,Level 2 - TOU Pricing
